Label,URL,brand,name,price,skin_type,ingredients,brand,name,price,skin_type,ingredients
beauty-supplements-bath-body,https://www.sephora.com/product/bum-bum-jet-set-P444048?icid2=products%20grid:p444048,,,,,,,,,,
beauty-supplements-bath-body,https://www.sephora.com/product/pro-facial-steamer-P413613?icid2=products%20grid:p413613,,,,,,,,,,
beauty-supplements-bath-body,https://www.sephora.com/product/uplift-firming-massage-head-P418202?skuId=2349934&icid2=products%20grid:p418202,,,,,,,,,,
beauty-supplements-bath-body,https://www.sephora.com/product/samba-2-step-foot-fetish-care-P406081?icid2=products%20grid:p406081,,,,,,,,,,
beauty-supplements-bath-body,https://www.sephora.com/product/coconut-your-bod-P443818?icid2=products%20grid:p443818,,,,,,,,,,
beauty-supplements-bath-body,https://www.sephora.com/product/clean-cool-body-basics-P421013?icid2=products%20grid:p421013,,,,,,,,,,
beauty-supplements-bath-body,https://www.sephora.com/product/briogeo-briogeo-kathleen-lights-b-well-aromatic-essential-oils-kit-P454053?icid2=products%20grid:p454053,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/kp-bump-eraser-body-scrub-with-10-aha-P444989?icid2=products%20grid:p444989,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/sol-de-janeiro-bum-bum-body-scrub-P459306?icid2=products%20grid:p459306,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/brazilian-4-play-moisturizing-shower-cream-gel-P411862?icid2=products%20grid:p411862,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/resurface-glycolic-renewing-scrub-P442844?icid2=products%20grid:p442844,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/scalp-body-scrub-P434221?icid2=products%20grid:p434221,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/necessaire-the-body-wash-P459727?icid2=products%20grid:p459727,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/coco-rose-coconut-oil-body-polish-P400211?icid2=products%20grid:p400211,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/brown-sugar-body-polish-P7844?icid2=products%20grid:p7844,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/sol-de-janeiro-coco-cabana-moisturizing-body-cream-cleanser-P457275?icid2=products%20grid:p457275,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/cleansing-softening-shower-oil-with-almond-oil-P107319?icid2=products%20grid:p107319,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/amazing-grace-bath-shampoo-shower-gel-P4682?icid2=products%20grid:p4682,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/acne-body-wash-P47517?icid2=products%20grid:p47517,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/vanilla-birthday-cake-P91103?icid2=products%20grid:p91103,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/coconut-crush-scrub-P413967?icid2=products%20grid:p413967,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/melon-daiquiri-P62607?icid2=products%20grid:p62607,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/performance-remedy-turbo-wash-energizing-cleanser-for-hair-body-P259950?icid2=products%20grid:p259950,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/senorita-margarita-shampoo-shower-gel-bubble-bath-P62605?icid2=products%20grid:p62605,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/ouai-haircare-chill-pills-P452730?icid2=products%20grid:p452730,,,,,,,,,,
